K0001
	D1109	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ	bstod tshogs, ka 1b1-4b7.	khyad par du 'phags pa'i bstod pa
	G1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ་	bstod tshogs, Ka ff.1r-6v (pp.1-12)	khyad par du 'phags pa'i bstod pa 
	N2001	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ	bstod tshogs, ka 1b1-6a3. (ff.1r-6r (pp.1-11))	khyad par du 'phags pa'i bstod pa
	Q2001	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ	bstod tshogs, ka 1b1-5b3 (vol.46, p.1)	khyad par du 'phags pa'i bstod pa
	Q5476	ཁྱད་པར་དུ་འཕགས་པར་བསྟོད་པ	dbu ma, gi 236b3-240a6 (vol.103, p.278-280)	khyad par du 'phags par bstod pa

K0002
	D1110	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ	bstod tshogs, ka 5a1-42b5.	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa
	G2	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ་	bstod tshogs, ka 6b2-58b (p.5-1-2)	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa 
	N2002	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ	bstod tshogs, ka 6a3-46a3. (ff.6r-46r (pp.11-91))	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa
	Q2002	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ	bstod tshogs, ka 5b3-48a8 (vol.46, p.4)	khyad par du 'phags pa'i bstod pa'i rgya cher bshad pa

K0003
	D1111	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 42b5-43b3.	thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba
	G3	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 58b4-59b (p.31-1-4)	thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba 
	N2003	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 46a3-47a2. (ff.46r-47r (pp.91-93))	thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba
	Q2003	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 48a8-49a8 (vol.46, p.21)	thams cad mkhyen pa dbang phyug chen po'i bstod pa zhes bya ba

K0004
	D1112	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ	bstod tshogs, ka 43b3-45a3.	lha las phul du byung bar bstod pa
	G4	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ་	bstod tshogs, ka 60b1-62b (p.30-3-1)	lha las phul du byung bar bstod pa 
	N2004	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ	bstod tshogs, ka 47a3-48b5. (ff.47r-48v (pp.93-96))	lha las phul du byung bar bstod pa
	Q2004	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ	bstod tshogs, ka 49a8-51a4 (vol.46, p.21)	lha las phul du byung bar bstod pa
	Q5477	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ	dbu ma, gi 240a6-242a1 (vol.103, p.280-281)	lha las phul du byung bar bstod pa

K0005
	D1113	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ	bstod tshogs, ka 45a3-61a3.	lha las phul du byung bar bstod pa'i rgya cher 'grel pa
	G5	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ་	bstod tshogs, ka 62a6-84a (p.32-1-6)	lha las phul du byung bar bstod pa'i rgya cher 'grel pa 
	N2005	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ	bstod tshogs, ka 48b5-67a2. (ff.48v-67r (pp.96-133))	lha las phul du byung bar bstod pa'i rgya cher 'grel pa
	Q2005	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ	bstod tshogs, ka 51a5-70a4 (vol.46, p.22)	lha las phul du byung bar bstod pa'i rgya cher 'grel pa

K0006
	D1114	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 61a3-61b6.	sangs rgyas kyi bstod pa zhes bya ba
	G6	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 85b1 (p.43-4-1)	sangs rgyas kyi bstod pa zhes bya ba 
	N2006	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 67a2-67b7. (ff.67r-68r (pp.133-135))	sangs rgyas kyi bstod pa zhes bya ba
	Q2006	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 70a4-71a2 (vol.46, p.30)	sangs rgyas kyi bstod pa zhes bya ba

K0007
	D1115	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ	bstod tshogs, ka 61b6-62b3.	chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa
	G7	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ་	bstod tshogs, ka 86a6 (p.44-1-6)	chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa 
	N2007	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ	bstod tshogs, ka 68a1-68b6. (ff.68r-68v (pp.135-136))	chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa
	Q2007	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ	bstod tshogs, ka 71a2-72a2 (vol.46, p.30)	chos kyi sku la gnas pa'i yon tan thun mong ma yin pa la bstod pa

K0008
	D1116	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ	bstod tshogs, ka 62b3-63a7.	de kho na nyid la bstod pa
	G8	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ་	bstod tshogs, ka 87b1-88b (p.45-2-1)	de kho na nyid la bstod pa 
	N2008	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ	bstod tshogs, ka 68b6-69b5. (ff.68v-69v (pp.136-138))	de kho na nyid la bstod pa
	Q2008	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ	bstod tshogs, ka 72a2-72b8 (vol.46, p.31)	de kho na nyid la bstod pa

K0009
	D1117	བདུད་བཏུལ་བ་ལ་བསྟོད་པ	bstod tshogs, ka 63a7-63b5.	bdud btul ba la bstod pa
	G9	བདུད་བཏུལ་བ་ལ་བསྟོད་པ་	bstod tshogs, ka 88b2-89a (p.45-3-2)	bdud btul ba la bstod pa 
	N2009	བདུད་བཏུལ་བ་ལ་བསྟོད་པ	bstod tshogs, ka 69b5-70a3. (ff.69v-70r (pp.138-139))	bdud btul ba la bstod pa
	Q2009	བདུད་བཏུལ་བ་ལ་བསྟོད་པ	bstod tshogs, ka 72b8-73a6 (vol.46, p.31)	bdud btul ba la bstod pa

K0010
	D1118	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ	bstod tshogs, ka 63b5-67b3.	chos kyi dbyings su bstod pa
	G10	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ་	bstod tshogs, ka 90b1-95b (p.47-1-1)	chos kyi dbyings su bstod pa 
	N2010	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ	bstod tshogs, ka 70a1-74b4. (ff.70r-74v (pp.139-148))	chos kyi dbyings su bstod pa
	Q2010	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ	bstod tshogs, ka 73a7-77b8 (vol.46, p.31)	chos kyi dbyings su bstod pa

K0011
	D1119	དཔེ་མེད་པར་བསྟོད་པ	bstod tshogs, ka 67b3-68b4.	dpe med par bstod pa
	G11	དཔེ་མེད་པར་བསྟོད་པ་	bstod tshogs, ka 95b1-96b (p.49-2-1)	dpe med par bstod pa 
	N2011	དཔེ་མེད་པར་བསྟོད་པ	bstod tshogs, ka 74b3-75b8. (ff.74v-75v (pp.148-150))	dpe med par bstod pa
	Q2011	དཔེ་མེད་པར་བསྟོད་པ	bstod tshogs, ka 77b8-79a5 (vol.46, p.33)	dpe med par bstod pa

K0012
	D1120	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ	bstod tshogs, ka 68b4-69b4.	'jig rten las 'das par bstod pa
	G12	ཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ་	bstod tshogs, ka 96b6-98a (p.49-3-6)	jig rten las 'das par bstod pa 
